uid,contractUid,number,dateSigned,type,title,amountValue,description,url
2020-050-13/і/216,050-13/і/216,6,2025-02-21,Додаткова угода,Додаткова угода № 6 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою продовжено строк облаштування об'єкта інвестування та викладено в новій редакції графік реалізації інвестиційного проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2025/dodatkova_ugoda_vid_21022025__6_do_investitsiynogo_dogovoru_vid_14082020__050-13_i_216/
2020-050-13/і/216,050-13/і/216,7,2025-12-18,Додаткова угода,Додаткова угода № 7 до Інвестиційного договору № 050-13/і/216,null,Додатковою угодою продовжено строк облаштування об'єкта інвестування та викладено в новій редакції графік реалізації інвестиційного проєкту,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_gruden_2025/dodatkova_ugoda_vid_18122025__7_do_investitsiynogo_dogovoru_vid_14082020__050-13_i_216/
2020-050-13/і/217,050-13/і/217,1,2021-09-09,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/217,null,Додатковою угодою продовжено строк облаштування об'єкту інвестування та затверджено графік реалізації інвестиційного проєкту,null
2020-050-13/і/217,050-13/і/217,2,2024-06-24,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/217,null,"Додатковою угодою продовжено строк облаштування об'єкту інвестування, визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану та графік реалізації інвестиційного проєкту викладено у новій редакції",https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_cherven_2024/dodatkova_ugoda_vid_24062024__2_do_investitsiynogo_dogovoru_vid_16092020__050-13_i_217/
2020-050-13/і/218,050-13/і/218,1,2021-03-09,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/218,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
2020-050-13/і/218,050-13/і/218,2,2023-09-15,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/218,null,Додатковою угодою визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2021-050-13/і/220,050-13/і/220,1,2021-10-05,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/220,null,Додатковою угодою затверджено графік реалізації інвестиційного проєкту,null
2021-050-13/і/220,050-13/і/220,2,2022-08-08,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/220,null,Додатковою угодою продовжено строк облаштування об'єкта інвестування та затверджено графік реалізації інвестиційного проєкту з новим строком,null
2021-050-13/і/220,050-13/і/220,3,2023-07-26,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/220,null,Додатковою угодою продовжено строк облаштування об'єкта інвестування та графік реалізації інвестиційного проєкту викладено у новій редакції,null
2021-050-13/і/221,050-13/і/221,1,2021-12-29,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/221,null,Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування,null
2021-050-13/і/221,050-13/і/221,2,2024-03-11,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/221,null,Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_11032024__2_do_investitsiynogo_dogovoru_vid_17022021__050-13_i_221/
2021-050-13/і/221,050-13/і/221,3,2025-08-01,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/221,null,Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_serpen_2025/dodatkova_ugoda_vid_01082025_3_do_investitsiynogo_dogovoru_vid_17022021_050-13_i_221/
2021-050-13/і/225,050-13/і/225,1,2023-07-12,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/225,null,"Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування, визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану",null
2021-050-13/і/225,050-13/і/225,2,2024-03-14,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/225,null,Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_berezen_2024/dodatkova_ugoda_vid_14032024__2_do_investitsiynogo_dogovoru_vid_28122021__050-13_i_225/
2021-050-13/і/225,050-13/і/225,3,2025-09-15,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/225,null,Додатковою угодою подовжено строки затвердження проєктної документації та облаштування об'єкту інвестування,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_veresen_2025/dodatkova_ugoda_vid_15092025__3_do_investitsiynogo_dogovoru_vid_28122021__050-13_i_225/
2021-050-13/і/226,050-13/і/226,1,2023-08-18,Додаткова угода,Додаткова угода № 1 до Інвестиційного договору № 050-13/і/226,null,Додатковою угодою подовжено строк затвердження проєктної документації та визначено незастосування пені за несвоєчасне подання або неподання звіту до припинення або скасування воєнного стану,null
2021-050-13/і/226,050-13/і/226,2,2024-02-23,Додаткова угода,Додаткова угода № 2 до Інвестиційного договору № 050-13/і/226,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2024/dodatkova_ugoda_vid_23022024__2_do_investitsiynogo_dogovoru_vid_30122021__050-13_i_226/
2021-050-13/і/226,050-13/і/226,3,2025-02-04,Додаткова угода,Додаткова угода № 3 до Інвестиційного договору № 050-13/і/226,null,Додатковою угодою подовжено строк затвердження проєктної документації,https://kyivcity.gov.ua/biznes_ta_litsenzuvannia/investoru/diyalnist_investitsiyno_komisi/teksti_investitsiynikh_dogovoriv_ta_dodatkovikh_ugod/dodatkovi_ugodi_lyutiy_2025/dodatkova_ugoda_vid_04022025__3_do_investitsiynogo_dogovoru_vid_30122021__050-13_i_226/
