uid,type,consumerType,unitAmountValue,unitAmountCurrency,unitName,status,providerName,providerId,validFrom,validThrough,legalActType,legalActTitle,legalActIssued,legalActNumber,legalActUrl,text,publisherName,publisherId
21,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,71.46,UAH,куб. м,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
22,централізоване постачання гарячої води у разі відсутності рушникосушильників,населення,64.97,UAH,куб. м,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
23,централізоване постачання гарячої води у разі відсутності рушникосушильників,бюджетні установи,76.86,UAH,куб. м,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
24,централізоване постачання гарячої води у разі відсутності рушникосушильників,інші споживачі,69.07,UAH,куб. м,Втратив чинність,ТОВ «ТЕПЛОПОСТАЧСЕРВІС»,35138553,2017-11-15,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води та вартості витрат на проведення періодичної повірки, обслуговування і ремонт квартирних засобів обліку теплової енергії Товариству з обмеженою відповідальністю «ТЕПЛОПОСТАЧСЕРВІС»",2017-10-26,1340,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_ta_vartosti_vitrat_na_proved_128226/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
25,централізоване опалення,населення,1335.23,UAH,Гкал,Чинний,ТОВ «СІГОО»,35532873,2017-02-21,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «СІГОО»",2017-01-31,99,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_sigoo_123540/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
26,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,80.10,UAH,куб. м,Чинний,ТОВ «СІГОО»,35532873,2017-02-21,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «СІГОО»",2017-01-31,99,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_sigoo_123540/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
27,централізоване постачання гарячої води у разі відсутності рушникосушильників,інші споживачі,88.56,UAH,куб. м,Чинний,ТОВ «СІГОО»,35532873,2017-02-21,null,Розпорядження,"Про встановлення тарифів на теплову енергію, виробництво теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «СІГОО»",2017-01-31,99,https://kyivcity.gov.ua/npa/pro_vstanovlennya_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_vidpovidalnistyu_sigoo_123540/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
28,централізоване опалення,населення,1564.20,UAH,Гкал,Втратив чинність,ТОВ «Ковальська-Житлосервіс»,32912720,2018-12-21,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Ковальська-Житлосервіс»",2018-12-11,2232,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_316487/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
29,централізоване опалення,населення,28.76,UAH,кв. м,Втратив чинність,ТОВ «Ковальська-Житлосервіс»,32912720,2018-12-21,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Ковальська-Житлосервіс»",2018-12-11,2232,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_316487/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
30,централізоване постачання гарячої води за умови підключення рушникосушильників до системи гарячого водопостачання,населення,103.22,UAH,куб. м,Втратив чинність,ТОВ «Ковальська-Житлосервіс»,32912720,2018-12-21,null,Розпорядження,"Про внесення змін до тарифів на теплову енергію, виробництво теплової енергії, транспортування теплової енергії, постачання теплової енергії, послуги з централізованого опалення і централізованого постачання гарячої води Товариству з обмеженою відповідальністю «Ковальська-Житлосервіс»",2018-12-11,2232,https://kyivcity.gov.ua/npa/pro_vnesennya_zmin_do_tarifiv_na_teplovu_energiyu_virobnitstvo_teplovo_energi_transportuvannya_teplovo_energi_postachannya_teplovo_energi_poslugi_z_tsentralizovanogo_opalennya_i_tsentralizovanogo_postachannya_garyacho_vodi_tovaristvu_z_obmezhenoyu_316487/,null,Виконавчий орган Київської міської ради (Київська міська державна адміністрація),00022527
