facility_id,osm_ref,category,subtype,name,operator,ownership,addr_street,addr_housenumber,grid_id,power_source_id,power_source_name,power_zone_id,power_connection_type,backup_power,backup_power_capacity_kw,dependency_confidence,dependency_notes,source
osm_relation_1170095,relation/1170095,education,kindergarten,,,,,,kyiv_grid_05_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1976259,relation/1976259,education,kindergarten,,,,Здолбунівська вулиця,3б/2,kyiv_grid_07_03,,,,,,,,,OpenStreetMap Overpass API
osm_relation_6527832,relation/6527832,education,kindergarten,,,,,,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_192154,relation/192154,education,kindergarten,,,,проспект Європейського Союзу,64а/1,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_142183,relation/142183,education,kindergarten,,,,вулиця Наталії Ужвій,4-Б,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_142185,relation/142185,education,kindergarten,,,,Новомостицька вулиця,3-Д,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_123909,relation/123909,education,kindergarten,,,,вулиця Наталії Ужвій,7-А,kyiv_grid_04_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_123910,relation/123910,education,kindergarten,,,,,,kyiv_grid_04_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2719210,relation/2719210,education,kindergarten,,,,Дегтярівська вулиця,6-А,kyiv_grid_04_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2029801,relation/2029801,education,kindergarten,,,,Йорданська вулиця,9-Е,kyiv_grid_05_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2029803,relation/2029803,education,kindergarten,,,,Йорданська вулиця,7-Г,kyiv_grid_05_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_130911,relation/130911,education,kindergarten,,,,проспект Свободи,3-А,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_130577,relation/130577,education,kindergarten,,,,,,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_142184,relation/142184,education,kindergarten,,,,проспект Свободи,2-Б,kyiv_grid_03_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1324424,relation/1324424,education,kindergarten,,,,Западинська вулиця,11,kyiv_grid_04_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2654344,relation/2654344,education,kindergarten,,,,Бережанська вулиця,14-А,kyiv_grid_04_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1547573,relation/1547573,education,kindergarten,,,,Оболонський проспект,27-Б,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2105351,relation/2105351,education,kindergarten,,,,проспект Володимира Івасюка,35-А,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_2169744,relation/2169744,education,kindergarten,,,,Прирічна вулиця,3,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1547574,relation/1547574,education,kindergarten,,,,Оболонський проспект,39-В,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1547575,relation/1547575,education,kindergarten,,,,Оболонський проспект,37-Б,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1546647,relation/1546647,education,kindergarten,,,,вулиця Героїв Дніпра,55,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1546650,relation/1546650,education,kindergarten,,,,вулиця Героїв Дніпра,69,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1546646,relation/1546646,education,kindergarten,,,,Північна вулиця,4-Г,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_1546648,relation/1546648,education,kindergarten,,,,Північна вулиця,42,kyiv_grid_05_06,,,,,,,,,OpenStreetMap Overpass API
osm_relation_166734,relation/166734,education,kindergarten,,,,Приозерна вулиця,6,kyiv_grid_05_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_10261596,relation/10261596,education,kindergarten,,,,вулиця Митрополита Андрея Шептицького,24-Б,kyiv_grid_07_04,,,,,,,,,OpenStreetMap Overpass API
osm_relation_166716,relation/166716,education,kindergarten,,,,проспект Романа Шухевича,4в,kyiv_grid_06_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_157889,relation/157889,education,kindergarten,,,,проспект Червоної Калини,19,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_165145,relation/165145,education,kindergarten,,,,проспект Червоної Калини,7-В,kyiv_grid_06_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_12840076,relation/12840076,education,kindergarten,,,,вулиця Остафія Дашкевича,4-В,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_167874,relation/167874,education,kindergarten,,,,проспект Романа Шухевича,22-В,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_167884,relation/167884,education,kindergarten,,,,проспект Романа Шухевича,26-А,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_170000,relation/170000,education,kindergarten,,,,вулиця Миколи Кибальчича,17,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_157907,relation/157907,education,kindergarten,,,,вулиця Архітектора Ніколаєва,5-А,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_158602,relation/158602,education,kindergarten,,,,проспект Червоної Калини,24-В,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
osm_relation_158181,relation/158181,education,kindergarten,,,,проспект Червоної Калини,18-Б,kyiv_grid_07_05,,,,,,,,,OpenStreetMap Overpass API
