providerName,providerId,addressPostCode,addressAdminUnitL1,addressAdminUnitL2,addressAdminUnitL3,addressAdminUnitL4,addressPostName,addressPostDistrict,addressThoroughfare,addressLocatorDesignator,addressLocatorDesignator2,addressLocatorBuilding,lat,lon
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,17-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,19,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01032,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,27,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,5-Б,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01024,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,5-АА,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01032,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Гетьмана Павла Скоропадського,47/107-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,2,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,16,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,23/25,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,29/50,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,19,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,13,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,2-А,null,null,null,null
Комунальне підприємство «Керуюча компанія з обслуговування житлового фонду Голосіївського району м. Києва»,32375554,01033,Україна,місто Київ,null,null,Київ,Голосіївський район,вул. Тарасівська,17,null,null,null,null
