"package_id","package_name","group_name","group_type","medical_program"
71,"Медичні послуги із здійснення забору, кріоконсервації та зберігання репродуктивних клітин військовослужбовців та інших осіб на випадок втрати репродуктивної функції під час виконання обов'язків із оборони держави, захисту вітчизни та інших покладених на них обов'язків","Допоміжні репродуктивні технології","Спеціалізована","Інші програми"
72,"Психосоціальна та психіатрична допомога дорослим та дітям, що організовується центрами ментального (психічного) здоров'я та мобільними мультидисциплінарними командами","Психіатрична допомога","Спеціалізована","Програма медичних гарантій"
73,"Розширені послуги з первинної медичної допомоги окремим категоріям осіб, які захищали незалежність, суверенітет та територіальну цілісність України","Первинна медична допомога","Спеціалізована","Інші програми"
74,"Серцево-судинні та цереброваскулярні захворювання, у тому числі з первинною та вторинною профілактикою інфарктів та інсультів","Реімбурсація","Реімбурсація","Програма медичних гарантій"
75,"Цукровий діабет (пероральні гіпоглікемізуючі лікарські засоби)","Реімбурсація","Реімбурсація","Програма медичних гарантій"
76,"Хронічні хвороби нижніх дихальних шляхів","Реімбурсація","Реімбурсація","Програма медичних гарантій"
77,"Хвороби ендокринної системи","Реімбурсація","Реімбурсація","Програма медичних гарантій"
78,"Метаболічні, аутоімунні та запальні захворювання","Реімбурсація","Реімбурсація","Програма медичних гарантій"
79,"Глаукома","Реімбурсація","Реімбурсація","Програма медичних гарантій"
80,"Мігрень","Реімбурсація","Реімбурсація","Програма медичних гарантій"
81,"Дитячі захворювання","Реімбурсація","Реімбурсація","Програма медичних гарантій"
82,"Лікування вагітних та породілей","Реімбурсація","Реімбурсація","Програма медичних гарантій"
83,"Онкологічні захворювання","Реімбурсація","Реімбурсація","Програма медичних гарантій"
84,"Послуги довготривалого медсестринського догляду внутрішньо переміщених осіб","Спеціалізована","Спеціалізована","Інші програми"
86,"Медична допомога дітям, які потребують лікування та постійного спостереження","Спеціалізована","Спеціалізована","Програма медичних гарантій"
